1;2,3,30;34,27-29,25-28,37-34,37
1;1,3,4,6;36,26-36,36-53,37-59,26
1;1,2,4,7;37,38-39,53-48,53-49,38
1;2,3,5,6,7,8;58,38-50,53-55,55-57,49-53,38
1;4,6,8;61,37-58,57-70,50
1;2,4,5,14;63,17-70,35-80,10-73,5
1;3,4,8,9;39,55-39,73-45,75-49,67-51,55
1;4,5,7,9;52,55-52,66-49,68-47,77-57,77-63,62-56,62
1;7,8,10;40,75-43,87-51,99-46,78
4;9,11,12;52,97-50,104-55,109-59,103-66,103-60,95
4;10,12,13;50,106-55,125-64,130-57,118-54,118
4;10,11,13,21;54,111-62,119-67,138-76,113-59,105
4;11,12;56,128-58,165-66,140
2;6,15,17;82,38-82,43-88,42-87,37
2;14,16,17,18;91,42-95,50-102,43-100,29
2;15,18,20,27,32,36;104,30-103,70-120,54-120,30
2;14,15,18,19;80,50-78,63-86,65
2;15,16,17,19,20;91,71-99,67-101,56-92,59
2;17,18,20;89,69-80,81-85,92-90,78
2;16,18,19,22,36;91,73-99,90-101,68-98,73
5;12,22,23,24;85,96-87,123-97,120-95,110
5;20,21,24;97,98-97,105-107,107-105,100
5;21,24,25;102,124-97,133-104,139-105,130
5;21,22,23,25,26,36;104,110-109,125-108,139-115,124
5;23,24,26;99,141-101,165-108,149
5;24,25;115,151-114,161-117,160-118,150
3;16,28,32,35;121,30-122,54-129,62-128,45
3;27,29,31,33,35;126,26-131,50-136,45-134,25
3;28,30,31;141,23-139,35-143,35-147,23
3;1,29,31,33,34;152,25-146,42-157,37-159,26
3;28,29,30,33;141,42-137,50-143,54
3;16,27,35,36,37;117,60-119,76-125,75-123,60
3;28,30,31,34,35;138,60-138,69-146,69-147,59
3;30,33,40;159,60-155,70-160,67
3;27,28,32,33,37,38;131,70-132,83-145,88-145,75
3;16,20,24,32,37;110,85-113,108-120,108-120,85
3;32,35,36,38;124,85-131,114-135,93
3;35,37,39;139,95-142,110-146,110-143,97
6;38,40,41;147,120-139,128-148,132
6;34,39,41,42;153,118-156,126-161,127-159,121
6;39,40,42;153,140-146,148-146,163-159,158-154,151
6;40,41;156,138-156,149-161,148-161,163-165,162-165,145
