1;2,3,30
1;1,3,4,6
1;1,2,4,7
1;2,3,5,6,7,8
1;4,6,8
1;2,4,5,14
1;3,4,8,9
1;4,5,7,9
1;7,8,10
4;9,11,12
4;10,12,13
4;10,11,13,21
4;11,12
2;6,15,17
2;14,16,17,18
2;15,18,20,27,32,36
2;14,15,18,19
2;15,16,17,19,20
2;17,18,20
2;16,18,19,22,36
5;12,22,23,24
5;20,21,24
5;21,24,25
5;21,22,23,25,26,36
5;23,24,26
5;24,25
3;16,28,32,35
3;27,29,31,33,35
3;28,30,31
3;1,29,31,33,34
3;28,29,30,33
3;16,27,35,36,37
3;28,30,31,34,35
3;30,33,40
3;27,28,32,33,37,38
3;16,20,24,32,37
3;32,35,36,38
3;35,37,39
6;38,40,41
6;34,39,41,42
6;39,40,42
6;40,41
